1st Q,1st Q.1,1st Q.2,1st Q.3,1st Q.4,1st Q.5,table
5:19.0,,,72-79,,L. Shamet enters the game for G. Yabusele,pbp
5:06.0,,,72-79,,J. Brunson misses 2-pt layup from 3 ft,pbp
5:04.0,Defensive rebound by L. Nance,,72-79,,,pbp
4:58.0,T. Proctor makes 3-pt jump shot from 25 ft (assist by L. Nance),+3,75-79,,,pbp
4:42.0,,,75-79,,M. McBride misses 3-pt jump shot from 24 ft,pbp
4:39.0,Defensive rebound by E. Mobley,,75-79,,,pbp
4:30.0,Shooting foul by M. McBride (drawn by E. Mobley),,75-79,,,pbp
4:30.0,E. Mobley misses free throw 1 of 2,,75-79,,,pbp
4:30.0,Offensive rebound by Team,,75-79,,,pbp
4:30.0,E. Mobley makes free throw 2 of 2,+1,76-79,,,pbp
4:17.0,,,76-79,,J. Brunson misses 3-pt jump shot from 23 ft,pbp
4:15.0,Defensive rebound by Team,,76-79,,,pbp
4:15.0,D. Mitchell enters the game for E. Mobley,,76-79,,,pbp
4:06.0,L. Nance makes 2-pt dunk from 2 ft (assist by L. Ball),+2,78-79,,,pbp
3:53.0,,,78-82,+3,M. McBride makes 3-pt jump shot from 27 ft (assist by M. Bridges),pbp
3:34.0,Turnover by L. Ball (bad pass; steal by M. Bridges),,78-82,,,pbp
3:30.0,,,78-82,,L. Shamet misses 3-pt jump shot from 26 ft,pbp
3:27.0,Defensive rebound by Team,,78-82,,,pbp
3:27.0,,,78-82,,Loose ball foul by M. McBride (drawn by D. Wade),pbp
3:27.0,Cleveland full timeout,,78-82,,,pbp
3:27.0,Instant Replay (Challenge: Ruling Stands),,78-82,,,pbp
3:27.0,,,78-82,,O. Anunoby enters the game for M. Bridges,pbp
3:27.0,,,78-82,,T. Kolek enters the game for J. Brunson,pbp
3:27.0,D. Wade misses free throw 1 of 2,,78-82,,,pbp
3:27.0,Offensive rebound by Team,,78-82,,,pbp
3:27.0,D. Wade makes free throw 2 of 2,+1,79-82,,,pbp
3:13.0,,,79-85,+3,L. Shamet makes 3-pt jump shot from 23 ft (assist by T. Kolek),pbp
2:50.0,D. Mitchell makes 2-pt jump shot from 19 ft,+2,81-85,,,pbp
2:41.0,,,81-85,,T. Kolek misses 3-pt jump shot from 27 ft,pbp
2:38.0,,,81-85,,Offensive rebound by T. Jemison,pbp
2:29.0,,,81-85,,Turnover by M. McBride (traveling),pbp
2:29.0,J. Allen enters the game for D. Wade,,81-85,,,pbp
2:29.0,,,81-85,,K. Towns enters the game for T. Jemison,pbp
2:17.0,T. Proctor misses 2-pt layup from 8 ft,,81-85,,,pbp
2:17.0,,,81-85,,Defensive rebound by Team,pbp
2:00.0,,,81-85,,M. McBride misses 2-pt jump shot from 23 ft,pbp
1:58.0,Defensive rebound by L. Nance,,81-85,,,pbp
1:52.0,D. Mitchell makes 2-pt jump shot from 5 ft,+2,83-85,,,pbp
1:38.0,,,83-85,,O. Anunoby misses 3-pt jump shot from 23 ft,pbp
1:36.0,Defensive rebound by J. Allen,,83-85,,,pbp
1:32.0,D. Mitchell makes 3-pt jump shot from 25 ft,+3,86-85,,,pbp
1:30.0,,,86-85,,New York full timeout,pbp
1:16.0,,,86-87,+2,T. Kolek makes 2-pt layup at rim,pbp
0:56.0,D. Mitchell misses 2-pt jump shot from 21 ft,,86-87,,,pbp
0:53.0,,,86-87,,Defensive rebound by K. Towns,pbp
