1st Q,1st Q.1,1st Q.2,1st Q.3,1st Q.4,1st Q.5
Time,Houston,,Score,,Oklahoma City
12:00.0,Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession),Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession),Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession),Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession),Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession)
1:38.0,,,76-73,,C. Holmgren misses 3-pt jump shot from 25 ft
1:36.0,Defensive rebound by Team,,76-73,,
1:18.0,Personal foul by A. Wiggins (drawn by K. Durant),,76-73,,
1:18.0,Away from play foul by L. Dort (drawn by K. Durant),,76-73,,
1:18.0,K. Durant makes free throw 1 of 1,+1,77-73,,
1:18.0,,,77-73,,J. Williams enters the game for L. Dort
1:05.0,T. Eason misses 2-pt layup from 3 ft,,77-73,,
1:04.0,,,77-73,,Defensive rebound by C. Holmgren
0:53.0,,,77-75,+2,A. Wiggins makes 2-pt dunk from 1 ft (assist by C. Holmgren)
0:43.0,Shooting foul by C. Holmgren (drawn by A. Şengün),,77-75,,
0:43.0,A. Şengün makes free throw 1 of 2,+1,78-75,,
0:43.0,J. Okogie enters the game for C. Capela,,78-75,,
0:43.0,A. Thompson enters the game for R. Sheppard,,78-75,,
